Poet,Poem,Title,Nationalty,Century,Gender
John Ashbery,"Is anything central?
Orchards flung out on the land,
Urban forests, rustic plantations, knee-high hills?
Are place names central?
Elm Grove, Adcock Corner, Story Book Farm?
As they concur with a rush at eye level
Beating themselves into eyes which have had enough
Thank you, no more thank you.
And they come on like scenery mingled with darkness
The damp plains, overgrown suburbs,
Places of known civic pride, of civil obscurity.
 
These are connected to my version of America
But the juice is elsewhere.
This morning as I walked out of your room
After breakfast crosshatched with
Backward and forward glances, backward into light,
Forward into unfamiliar light,
Was it our doing, and was it
The material, the lumber of life, or of lives
We were measuring, counting?
A mood soon to be forgotten
In crossed girders of light, cool downtown shadow
In this morning that has seized us again?
 
I know that I braid too much on my own
Snapped-off perceptions of things as they come to me.
They are private and always will be.
Where then are the private turns of event
Destined to bloom later like golden chimes
Released over a city from a highest tower?
The quirky things that happen to me, and I tell you,
And you know instantly what I mean?
What remote orchard reached by winding roads
Hides them? Where are these roots?
 
It is the lumps and trials
That tell us whether we shall be known
And whether our fate can be exemplary, like a star.
All the rest is waiting
For a letter that never arrives,
Day after day, the exasperation
Until finally you have ripped it open not knowing what it is,
The two envelope halves lying on a plate.
The message was wise, and seemingly
Dictated a long time ago, but its time has still
Not arrived, telling of danger, and the mostly limited
Steps that can be taken against danger
Now and in the future, in cool yards,
In quiet small houses in the country,
Our country, in fenced areas, in cool shady streets.",The One Thing That Can Save America,American,20th-century,Male
John Ashbery,"A blue anchor grains of grit in a tall sky sewing
I inch and only sometimes as far as the twisted pole gone in spare colors
Too late the last express passes through the dust of gardens",[A blue anchor grains of grit in a tall sky sewing],American,20th-century,Male
John Ashbery,"I am forced to sleepwalk much of the time.
We hold on to these old ways, are troubled
sometimes and then the geyser goes away,
time gutted. In and of itself there is
no great roar, force pitted against force that
makes up in time what it loses in speed.
The waterfalls, the canyon, a royal I-told-you-so
comes back to greet us at the beginning.
How was your trip? Oh I didn’t last
you see, folded over like the margin
of a dream of the thing-in-itself. Well, and
what have we come to? A paper-thin past,
just so, and ‘tis pity. We regurgitate
old anthems and what has come to pass, and why
dwell on these. Why make things more difficult
than they already are? Because if it’s boring
in a different way, that’ll be interesting too.
That’s what I say.
 
That rascal, he jumped over the fence.
I’m wiping my pince-nez now. Did you ever hear from
the one who said he’d be back once it was over,
who eluded me even in my sleep? That was a particularly
promising time, we thought. Now the sun’s out
and it’s raining again. Just like a day from
the compendium. I’ll vouch for you,
and we can go on scrolling as though nothing had risen,
the horizon forest looks back at us. The preacher
shook his head, the evangelist balanced two spools
at the end of his little makeshift rope. We’d gone too far.
We’d have to come back in a day or so.",The Short Answer,American,20th-century,Male
William Butler Yeats,"I
That is no country for old men. The young
In one another's arms, birds in the trees,
—Those dying generations—at their song,
The salmon-falls, the mackerel-crowded seas,
Fish, flesh, or fowl, commend all summer long
Whatever is begotten, born, and dies.
Caught in that sensual music all neglect
Monuments of unageing intellect.
II
An aged man is but a paltry thing,
A tattered coat upon a stick, unless
Soul clap its hands and sing, and louder sing
For every tatter in its mortal dress,
Nor is there singing school but studying
Monuments of its own magnificence;
And therefore I have sailed the seas and come
To the holy city of Byzantium.
III
O sages standing in God's holy fire
As in the gold mosaic of a wall,
Come from the holy fire, perne in a gyre,
And be the singing-masters of my soul.
Consume my heart away; sick with desire
And fastened to a dying animal
It knows not what it is; and gather me
Into the artifice of eternity.
IV
Once out of nature I shall never take
My bodily form from any natural thing,
But such a form as Grecian goldsmiths make
Of hammered gold and gold enamelling
To keep a drowsy Emperor awake;
Or set upon a golden bough to sing
To lords and ladies of Byzantium
Of what is past, or passing, or to come.",Sailing to Byzantium,Irish,20th-century,Male
William Butler Yeats,"I met the Bishop on the road
And much said he and I.
`Those breasts are flat and fallen now
Those veins must soon be dry;
Live in a heavenly mansion,
Not in some foul sty.'
`Fair and foul are near of kin,
And fair needs foul,' I cried.
'My friends are gone, but that's a truth
Nor grave nor bed denied,
Learned in bodily lowliness
And in the heart's pride.
`A woman can be proud and stiff
When on love intent;
But Love has pitched his mansion in
The place of excrement;
For nothing can be sole or whole
That has not been rent.'",Crazy Jane Talks with the Bishop,Irish,20th-century,Male
William Butler Yeats,"The unpurged images of day recede;
The Emperor's drunken soldiery are abed;
Night resonance recedes, night-walkers' song
After great cathedral gong;
A starlit or a moonlit dome disdains
All that man is,
All mere complexities,
The fury and the mire of human veins.
Before me floats an image, man or shade,
Shade more than man, more image than a shade;
For Hades' bobbin bound in mummy-cloth
May unwind the winding path;
A mouth that has no moisture and no breath
Breathless mouths may summon;
I hail the superhuman;
I call it death-in-life and life-in-death.
Miracle, bird or golden handiwork,
More miracle than bird or handiwork,
Planted on the starlit golden bough,
Can like the cocks of Hades crow,
Or, by the moon embittered, scorn aloud
In glory of changeless metal
Common bird or petal
And all complexities of mire or blood.
At midnight on the Emperor's pavement flit
Flames that no faggot feeds, nor steel has lit,
Nor storm disturbs, flames begotten of flame,
Where blood-begotten spirits come
And all complexities of fury leave,
Dying into a dance,
An agony of trance,
An agony of flame that cannot singe a sleeve.
Astraddle on the dolphin's mire and blood,
Spirit after spirit! The smithies break the flood,
The golden smithies of the Emperor!
Marbles of the dancing floor
Break bitter furies of complexity,
Those images that yet
Fresh images beget,
That dolphin-torn, that gong-tormented sea.",Byzantium,Irish,20th-century,Male
William Butler Yeats,"(for Harry Clifton)



I have heard that hysterical women say
They are sick of the palette and fiddle-bow,
Of poets that are always gay,
For everybody knows or else should know
That if nothing drastic is done
Aeroplane and Zeppelin will come out,
Pitch like King Billy bomb-balls in
Until the town lie beaten flat.
All perform their tragic play,
There struts Hamlet, there is Lear,
That's Ophelia, that Cordelia;
Yet they, should the last scene be there,
The great stage curtain about to drop,
If worthy their prominent part in the play,
Do not break up their lines to weep.
They know that Hamlet and Lear are gay;
Gaiety transfiguring all that dread.
All men have aimed at, found and lost;
Black out; Heaven blazing into the head:
Tragedy wrought to its uttermost.
Though Hamlet rambles and Lear rages,
And all the drop scenes drop at once
Upon a hundred thousand stages,
It cannot grow by an inch or an ounce.
On their own feet they came, or on shipboard,
Camel-back, horse-back, ass-back, mule-back,
Old civilisations put to the sword.
Then they and their wisdom went to rack:
No handiwork of Callimachus
Who handled marble as if it were bronze,
Made draperies that seemed to rise
When sea-wind swept the corner, stands;
His long lamp chimney shaped like the stem
Of a slender palm, stood but a day;
All things fall and are built again
And those that build them again are gay.
Two Chinamen, behind them a third,
Are carved in Lapis Lazuli,
Over them flies a long-legged bird
A symbol of longevity;
The third, doubtless a serving-man,
Carries a musical instrument.
Every discolouration of the stone,
Every accidental crack or dent
Seems a water-course or an avalanche,
Or lofty slope where it still snows
Though doubtless plum or cherry-branch
Sweetens the little half-way house
Those Chinamen climb towards, and I
Delight to imagine them seated there;
There, on the mountain and the sky,
On all the tragic scene they stare.
One asks for mournful melodies;
Accomplished fingers begin to play.
Their eyes mid many wrinkles, their eyes,
Their ancient, glittering eyes, are gay.",Lapis Lazuli,Irish,20th-century,Male
William Butler Yeats,"I
I sought a theme and sought for it in vain,
I sought it daily for six weeks or so.
Maybe at last being but a broken man
I must be satisfied with my heart, although
Winter and summer till old age began
My circus animals were all on show,
Those stilted boys, that burnished chariot,
Lion and woman and the Lord knows what.
II
What can I but enumerate old themes,
First that sea-rider Oisin led by the nose
Through three enchanted islands, allegorical dreams,
Vain gaiety, vain battle, vain repose,
Themes of the embittered heart, or so it seems,
That might adorn old songs or courtly shows;
But what cared I that set him on to ride,
I, starved for the bosom of his fairy bride.
And then a counter-truth filled out its play,
`The Countess Cathleen' was the name I gave it,
She, pity-crazed, had given her soul away
But masterful Heaven had intervened to save it.
I thought my dear must her own soul destroy
So did fanaticism and hate enslave it,
And this brought forth a dream and soon enough
This dream itself had all my thought and love.
And when the Fool and Blind Man stole the bread
Cuchulain fought the ungovernable sea;
Heart mysteries there, and yet when all is said
It was the dream itself enchanted me:
Character isolated by a deed
To engross the present and dominate memory.
Players and painted stage took all my love
And not those things that they were emblems of.
III
Those masterful images because complete
Grew in pure mind but out of what began?
A mound of refuse or the sweepings of a street,
Old kettles, old bottles, and a broken can,
Old iron, old bones, old rags, that raving slut
Who keeps the till. Now that my ladder's gone
I must lie down where all the ladders start
In the foul rag and bone shop of the heart.",The Circus Animals’ Desertion,Irish,20th-century,Male
Emily Dickinson,"This World is not Conclusion.
A Species stands beyond - 
Invisible, as Music -
But positive, as Sound -
It beckons, and it baffles - 
Philosophy, dont know - 
And through a Riddle, at the last - 
Sagacity, must go -
To guess it, puzzles scholars -
To gain it, Men have borne
Contempt of Generations
And Crucifixion, shown -
Faith slips - and laughs, and rallies - 
Blushes, if any see - 
Plucks at a twig of Evidence - 
And asks a Vane, the way - 
Much Gesture, from the Pulpit -
Strong Hallelujahs roll - 
Narcotics cannot still the Tooth
That nibbles at the soul -",This World is not Conclusion (373),American,19th-century,Female
William Butler Yeats,"Why should I blame her that she filled my days With misery, or that she would of late Have taught to ignorant men most violent ways, Or hurled the little streets upon the great, Had they but courage equal to desire? What could have made her peaceful with a mind That nobleness made simple as a fire, With beauty like a tightened bow, a kind That is not natural in an age like this, Being high and solitary and most stern? Why, what could she have done, being what she is? Was there another Troy for her to burn?",No Second Troy,Irish,20th-century,Male
