Poem,Title,Nationality,Century,Gender
"What need you, being come to sense, But fumble in a greasy till And add the halfpence to the pence And prayer to shivering prayer, until You have dried the marrow from the bone; For men were born to pray and save: Romantic Ireland’s dead and gone, It’s with O’Leary in the grave. Yet they were of a different kind, The names that stilled your childish play, They have gone about the world like wind, But little time had they to pray For whom the hangman’s rope was spun, And what, God help us, could they save? Romantic Ireland’s dead and gone, It’s with O’Leary in the grave. Was it for this the wild geese spread The grey wing upon every tide; For this that all that blood was shed, For this Edward Fitzgerald died, And Robert Emmet and Wolfe Tone, All that delirium of the brave? Romantic Ireland’s dead and gone, It’s with O’Leary in the grave. Yet could we turn the years again, And call those exiles as they were In all their loneliness and pain, You’d cry, ‘Some woman’s yellow hair Has maddened every mother’s son’: They weighed so lightly what they gave. But let them be, they’re dead and gone, They’re with O’Leary in the grave.",September 1913,Irish,20th-century,Male
"Blow, blow, thou winter wind,    Thou art not so unkind       As man’s ingratitude;    Thy tooth is not so keen, Because thou art not seen,       Although thy breath be rude. Heigh-ho! sing, heigh-ho! unto the green holly: Most friendship is feigning, most loving mere folly:    Then, heigh-ho, the holly!       This life is most jolly.","Song: “Blow, blow, thou winter wind”",English,16th-century,Male
"the bruise will stop by later.
For now, the pain pauses in its round,
notes the time of day, the patient’s temperature,
leaves a memo for the surrogate: What the hell
did you think you were doing? I mean . . .
Oh well, less said the better, they all say.
I’ll post this at the desk.
God will find the pattern and break it.","Anticipated Stranger,",American,20th-century,Male
"get back on the r oad again 
 and just like that 
 we’d catch a glimpse of dad leaving 
 when you’re an immigrant 
 you keep your head down and stay working 
 when you’re a refugee and 
 you don’ t have papers 
 when they call you illegal 
 outsider 
 terrorist 
 towelhead 
 you work until your bones become dust 
 you are the only one you can count on 
 every time he started at a new company 
 he’d spend months working for free 
 during their mandatory “training” period 
 funny how they needed to train a man 
 who was fully licensed 
 qualified 
 and experienced 
 after the third month of 
 not taking a penny home 
 dad would demand compensation 
 and they’d of fer him 
 five cents for every mile he drove 
 years ago while driving a load 
 from montreal to florida",,Canadian,21st-century,Female
"No more be grieved at that which thou hast done:
Roses have thorns, and silver fountains mud,
Clouds and eclipses stain both moon and sun,
And loathsome canker lives in sweetest bud.
All men make faults, and even I in this,
Authórizing thy trespass with compare,
Myself corrupting salving thy amiss,
Excusing thy sins more than thy sins are:
For to thy sensual fault I bring in sense—
Thy adverse party is thy advocate—
And ‘gainst myself a lawful plea commence.
Such civil war is in my love and hate,
   That I an áccessory needs must be
   To that sweet thief which sourly robs from me.",Sonnet 35: No more be grieved at that which thou hast done,English,16th-century,Male
Taut with longing  You must become  The god you sought—  The only one,Apotheosis,American,20th-century,Male
"There were distinctive
dips and shivers
in the various foliage,
syncopated,
almost cadenced in the way
that once made him invent
“understanding.”
                         *
Now the boss could say
“parameters”
and mean something
like “I’ll pinch.”
By repeating the gesture exactly
the woman awakened
an excited suspicion
in the infant.
When he awakened
she was just returning from
one of her little trips.
It’s common to confuse
the distance
with flirtation:
that expectant solemnity
which seems to invite a kiss.
                         *
He stroked her carapace
with his claw.
They had developed a code
in which each word appeared to refer
to some abdicated function.
Thus, in a department store,
Petite Impressions might neighbor
Town Square.
But he exaggerated it
by mincing
words like “micturition,”
setting scenes
in which the dainty lover
would pretend to leave.
                         *
Was it sadness or fear?
He still wasn’t back.
The act of identification,
she recognized,
was always a pleasure,
but this lasting difference
between sense and recognition
made her unhappy
or afraid.
Once she was rewarded
by the beams
of headlights flitting
in play.",Language of Love,American,21st-century,Female
"""Mariana in the Moated Grange""(Shakespeare, Measure for Measure",Mariana,English,19th-century,Male
"Glass was the Street - in Tinsel Peril
Tree and Traveller stood.
Filled was the Air with merry venture
Hearty with Boys the Road.
Shot the lithe Sleds like Shod vibrations
Emphacized and gone
It is the Past’s supreme italic
Makes the Present mean -",Glass was the Street - in Tinsel Peril (1518),American,19th-century,Female
"(from Twelfth Night)



Come away, come away, death,     And in sad cypress let me be laid. Fly away, fly away, breath;     I am slain by a fair cruel maid. My shroud of white, stuck all with yew,              O, prepare it! My part of death, no one so true          Did share it. Not a flower, not a flower sweet,     On my black coffin let there be strown. Not a friend, not a friend greet     My poor corpse, where my bones shall be thrown. A thousand thousand sighs to save,              Lay me, O, where Sad true lover never find my grave,              To weep there!","Song: “Come away, come away, death” ",English,16th-century,Male
"What had you been thinking about
the face studiously bloodied
heaven blotted region
I go on loving you like water but
there is a terrible breath in the way all of this
You were not elected president, yet won the race
All the way through fog and drizzle
When you read it was sincere the coasts
stammered with unintentional villages the
horse strains fatigued I guess . . . the calls . . .
I worry
the water beetle head
why of course reflecting all
then you redid you were breathing
I thought going down to mail this
of the kettle you jabbered as easily in the yard
you come through but
are incomparable the lovely tent
mystery you don’t want surrounded the real
you dance
in the spring there was clouds
The mulatress approached in the hall—the
lettering easily visible along the edge of the Times
in a moment the bell would ring but there was time
for the carnation laughed here are a couple of “other”
to one in yon house
The doctor and Philip had come over the road
Turning in toward the corner of the wall his hat on
reading it carelessly as if to tell you your fears were justified
the blood shifted you know those walls
wind off the earth had made him shrink
undeniably an oboe now the young
were there there was candy
to decide the sharp edge of the garment
like a particular cry not intervening called the dog “he’s coming! he’s coming” with an emotion felt it sink into peace
there was no turning back but the end was in sight
he chose this moment to ask her in detail about her family and the others
The person.   pleaded—“have more of these
not stripes on the tunic—or the porch chairs
will teach you about men—what it means”
to be one in a million pink stripe
and now could go away the three approached the doghouse
the reef.   Your daughter’s
dream of my son understand prejudice
darkness in the hole
the patient finished
They could all go home now the hole was dark
lilacs blowing across his face glad he brought you",The Tennis Court Oath,American,20th-century,Male
